Time Lapsed (s), Asteroids in Universe, Total Mass (kg), Average Mass (kg), Most Massive (kg), Average Radius (km), Largest Radius (km)
1,1,1,1,1,51.96152,51.96152
2,4,858.1213,214.5303,378.9686,137.2405,174.7171
3,7,2963.042,423.2917,755.9685,173.7592,219.9393
4,10,6168.999,616.8998,1116.968,197.4543,250.5045
5,13,9667.213,743.6318,1484.966,205.7204,275.4487
6,16,14971.25,935.7033,1847.968,223.8816,296.2782
7,19,21395.37,1126.072,2206.966,239.1802,314.339
8,22,28031.35,1274.152,2560.968,245.6991,330.3201
9,24,34597.45,1441.56,2906.967,256.5876,344.5744
10,27,43779.43,1621.46,3261.966,268.2569,358.0675
11,31,53855.37,1737.27,3605.966,271.9412,370.2375
12,33,63881.29,1935.797,3947.968,283.1941,381.5915
13,34,72300.47,2126.484,6382.133,291.0959,446.8153
14,38,84466.35,2222.799,6717.133,293.3816,454.5007
15,40,96574.17,2414.354,7061.147,303.0576,462.131
16,41,110453.1,2693.979,7400.134,319.6695,469.4115
17,40,120659.1,3016.477,7741.141,336.04,476.5141
18,40,134379.1,3359.477,8084.148,351.1951,483.4507
19,38,141515,3724.078,8422.155,365.2832,490.097
20,37,154614,4178.755,8773.156,380.357,496.8127
21,36,165256,4590.444,9124.159,394.0431,503.3518
22,34,177519,5221.147,10616.01,411.6155,529.7007
23,34,189453,5572.146,10967.01,421.5325,535.4759
24,34,201489,5926.147,11321.01,431.0246,541.1755
25,32,213090,6659.063,16191.04,446.1807,610.8071
26,31,224124,7229.808,16542.04,458.0351,615.1851
27,30,234627,7820.901,16886.03,471.1162,619.4241
28,29,237615.1,8193.624,17243.04,478.9021,623.7615
29,29,247939.1,8549.624,17599.04,486.3512,628.0239
30,29,258379.1,8909.625,17959.04,493.6346,632.273
31,29,268703.2,9265.627,18315.04,500.6116,636.4212
32,28,278721.1,9954.326,18667.04,512.7174,640.4727
33,26,288237.1,11086.04,20752,530.8661,662.3121
34,25,297281.1,11891.25,30397,541.4116,752.175
35,25,306381.1,12255.25,30761,547.4007,755.1659
36,24,315232.3,13134.68,31141.02,558.0469,759.6154
37,24,324112.1,13504.67,31510.98,563.8105,762.6131
38,23,332941.1,14475.7,31881.99,575.1631,765.5979
39,23,341382.2,14842.7,32248.99,580.5797,768.5255
40,23,350007.2,15217.7,32623.96,585.998,771.4916
41,23,358770.2,15598.71,33004.93,591.3904,774.4808
42,22,366953.3,16679.7,33370.94,605.4033,777.3326
43,22,375137.4,17051.7,33742.93,610.3311,780.2096
44,21,383093.4,18242.54,34115.93,625.6289,783.0764
45,21,391010.4,18619.54,34492.93,630.278,785.9493
46,20,384012.4,19200.62,34867.93,636.916,788.7897
47,19,391431.4,20601.65,39779.07,649.6766,821.4137
48,19,398822.4,20990.65,40168.06,654.1603,824.0867
49,19,406023.4,21369.65,40547.06,658.4626,826.6649
50,19,413281.5,21751.66,40929.06,662.7365,829.2582
51,19,420805.4,22147.65,41325.05,667.1024,831.9207
52,19,427930.5,22522.66,41700.06,671.1802,834.429
53,19,435226.5,22906.66,42084.06,675.2989,836.9846
54,19,442313.6,23279.66,42457.09,679.2454,839.4491
55,19,449514.6,23658.66,42836.05,683.2056,841.9378
56,19,456848.5,24044.66,43222.05,687.1895,844.4634
57,19,464011.4,24421.65,43599.07,691.0322,846.9084
58,19,471193.4,24799.65,43977.04,694.8371,849.3512
59,19,478603.5,25189.66,44367.04,698.7172,851.8517
60,18,465921.4,25884.52,44746.13,705.2522,854.2751
61,18,472941.3,26274.52,45136.03,709.0186,856.7458
62,18,479835.3,26657.52,45519.02,712.6753,859.1697
63,17,462073.2,27180.78,45903.02,717.1866,861.5664
64,17,468703.2,27570.77,46293.02,720.8268,864.0117
65,17,475333.2,27960.77,46683.01,724.4268,866.4236
66,17,482065.1,28356.77,47079,728.0425,868.8683
67,17,488678.1,28745.77,47468.01,731.5571,871.2535
68,17,495274,29133.77,47856.02,735.0276,873.6265
69,17,501903.9,29523.76,48246.05,738.4778,875.9821
70,17,508551,29914.77,48637.18,741.9066,878.3582
71,16,515141,32196.31,49026.06,759.7723,880.6816
72,16,521364.8,32585.3,49415.07,763.0002,883.0058
73,16,527524.8,32970.3,49800.17,766.1646,885.2931
74,16,533780.8,33361.3,50191.02,769.3516,887.6078
75,15,495370.3,33024.69,50573.01,767.0956,889.8491
76,15,501160.5,33410.7,50959.16,770.2288,892.0935
77,15,507055.5,33803.7,51352.23,773.3915,894.3738
78,15,512935.4,34195.69,51744.16,776.5192,896.641
79,15,518800.4,34586.69,52135.15,779.6123,898.9144
80,15,524755.8,34983.71,52532.23,782.7288,901.1946
81,14,504326.8,36023.34,52927.42,790.5488,903.4495
82,14,509912.5,36422.32,53326.18,793.5893,905.7204
83,13,515511.6,39654.73,54305.95,816.4159,911.3917
84,13,520802.3,40061.71,54712.77,819.3216,913.6432
85,12,470901.4,39241.79,54534.14,814.3499,912.4635
86,12,475617.6,39634.8,54927.14,817.1627,914.6571
87,12,480477.4,40039.78,55332.23,820.0432,916.9263
88,12,485325.5,40443.79,55736.34,822.8959,919.1512
89,11,452682.6,41152.96,56134.27,827.3824,921.3391
90,11,457159.3,41559.93,56541.14,830.2092,923.5709
91,11,461680.3,41970.94,56952.05,833.0383,925.7869
92,11,466069.2,42369.93,57351.08,835.7654,927.9381
93,11,470502.4,42772.94,57754.14,838.5035,930.1003
94,11,474891.8,43171.98,58153.09,841.187,932.2094
95,11,479302.5,43572.95,58554.15,843.8726,934.3555
96,11,483658.4,43968.94,58950.15,846.5145,936.4818
97,11,488036.6,44366.96,59348.17,849.1475,938.5854
98,11,492557.5,44777.95,59759.3,851.8541,940.7579
99,11,496767.6,45160.69,59999.09,854.3734,942.0266
100,11,500757.5,45523.41,59999.09,856.7717,943.1719
101,11,504757.8,45887.07,59999.09,859.1631,945.2862
102,11,508700.6,46245.51,59999.63,861.5168,946.7186
103,10,466542.8,46654.28,59999.63,863.5669,946.7186
104,10,469806.9,46980.69,59999.63,865.7286,946.7186
105,10,473055.1,47305.51,59999.63,867.8627,946.7186
106,9,437156.3,48572.92,59999.63,875.5673,946.7186
107,9,440005.2,48889.46,59999.63,877.6089,946.7186
108,9,442896.1,49210.68,59999.63,879.6589,946.7186
109,9,445632.8,49514.75,59999.63,881.5889,946.7186
110,9,448303.5,49811.5,59999.7,883.4811,946.7186
111,9,450383.3,50042.59,59999.7,885.0245,946.7186
112,9,452418.4,50268.71,59999.7,886.5296,946.7186
113,9,454518.3,50502.03,59999.7,888.0667,946.7186
114,9,456583.3,50731.48,59999.7,889.5748,946.7186
115,9,458683.3,50964.8,59999.7,891.0919,946.7186
116,9,460813.3,51201.48,59999.7,892.626,946.7186
117,9,462878.2,51430.91,59999.7,894.101,946.7186
118,9,465038.2,51670.91,59999.7,895.6336,946.7186
119,9,467068.2,51896.46,59999.7,897.0635,946.7186
120,9,469113,52123.67,59999.7,898.4993,946.7186
121,9,471178.1,52353.12,59999.7,899.9385,946.7186
122,9,473273,52585.89,59999.7,901.3931,946.7186
123,9,475388,52820.89,59999.7,902.8499,946.7186
124,9,477473,53052.55,59999.7,904.2772,946.7186
125,9,479563.1,53284.79,59999.7,905.6978,946.7186
126,9,481648,53516.44,59999.7,907.1048,946.7186
127,9,483763.1,53751.45,59999.7,908.5257,946.7186
128,9,485892.9,53988.1,59999.7,909.9543,946.7186
129,9,487992.9,54221.44,59999.7,911.3525,946.7186
130,9,490108.2,54456.46,59999.7,912.7532,946.7186
131,9,492268,54696.44,59999.7,914.1721,946.7186
132,9,494372.8,54930.32,59999.7,915.5473,946.7186
133,9,496452.8,55161.42,59999.7,916.8961,946.7186
134,8,441534.4,55191.8,59999.7,916.9072,946.7186
135,7,383226.8,54746.69,59999.7,914.2764,946.7186
136,7,384954.6,54993.51,59999.7,915.7278,946.7186
137,7,386702.2,55243.18,59999.7,917.1768,946.7186
138,7,388414.5,55487.79,59999.7,918.5973,946.7186
139,7,390158.2,55736.89,59999.7,920.0229,946.7186
140,7,391874.3,55982.05,59999.7,921.4225,946.7186
141,7,393602.8,56228.97,59999.7,922.8195,946.7186
142,7,395358.6,56479.8,59999.7,924.2324,946.7186
143,7,397070.8,56724.4,59999.7,925.6122,946.7186
144,7,398818.8,56974.12,59999.7,927.0173,946.7186
145,7,400546.6,57220.95,59999.7,928.395,946.7186
146,7,402259,57465.57,59999.7,929.7467,946.7186
147,7,403799.5,57685.64,59999.7,930.9678,946.7186
148,7,405104.6,57872.09,59999.7,932.0003,946.7186
149,7,406382.4,58054.63,59999.7,933.0104,946.7186
150,7,407681.4,58240.2,59999.7,934.0328,946.7186
151,6,348978.2,58163.03,59999.7,933.8835,946.7186
152,6,350304.1,58384.01,59999.7,935.0949,946.7186
153,6,351612.3,58602.05,59999.7,936.2795,946.7186
154,6,352911.6,58818.61,59999.7,937.4482,946.7186
155,6,354216.8,59036.13,59999.7,938.6133,946.7186
156,5,295425.9,59085.18,59999.7,938.7977,946.7186
