Time Lapsed (s), Asteroids in Universe, Total Mass (kg), Average Mass (kg), Most Massive (kg), Average Radius (km), Largest Radius (km)
1,1,1,1,1,51.96152,51.96152
2,4,836.1449,209.0362,372.0124,135.6983,173.3878
3,6,2583.243,430.5406,716.0127,175.0084,215.6782
4,8,4605.28,575.66,1066.013,191.1826,246.275
5,11,8133.541,739.4128,1423.011,205.9911,271.1663
6,14,12528.84,894.917,1772.011,219.4846,291.7352
7,17,18032,1060.706,2118.009,233.3388,309.6049
8,21,24626.25,1172.679,2459.01,238.2789,325.4
9,24,32302.32,1345.93,2799.01,251.0452,339.7567
10,25,39303.4,1572.136,5187.115,262.3382,416.2137
11,29,48589.57,1675.503,5527.116,266.2046,425.1164
12,32,58774.68,1836.709,5860.124,276.3022,433.4885
13,35,69924.81,1997.852,6189.126,285.5008,441.454
14,36,77833.92,2162.053,6514.12,290.7641,449.05
15,37,85698.15,2316.166,6832.125,298.4028,456.242
16,40,98530.23,2463.256,7162.125,305.5645,463.4727
17,41,111168.2,2711.419,7470.12,319.915,470.0236
18,39,123222.2,3159.544,7908.149,339.4731,478.9471
19,39,135702.2,3479.544,8228.153,353.5278,485.3222
20,38,148469.3,3907.085,8560.153,369.0826,491.7639
21,35,150568.1,4301.946,8885.157,383.5578,497.9104
22,35,162118.1,4631.946,9215.152,394.3387,503.9998
23,34,173483.2,5102.447,10705.06,407.542,531.0641
24,34,184601.2,5429.447,11032.06,416.9294,536.4182
25,34,195685.2,5755.448,11358.06,425.8321,541.6496
26,33,206746.3,6265.039,11690.06,438.7124,546.8778
27,32,211871.3,6620.977,11988.06,447.3643,551.4863
28,32,222495.2,6952.975,12320.06,455.1807,556.5312
29,32,232991.2,7280.976,12648.06,462.626,561.427
30,32,243839.2,7619.976,12987.05,470.0585,566.3985
31,32,254687.3,7958.977,13326.06,477.2471,571.2831
32,32,265439.3,8294.979,13662.07,484.1516,576.0464
33,31,270188.2,8715.748,13996.06,492.5939,580.7035
34,30,271000.1,9033.338,14318.06,498.6214,585.1212
35,29,273170,9419.655,14639.05,505.82,589.4639
36,29,282769,9750.656,14970.08,511.8569,593.871
37,29,292426,10083.66,15303.08,517.7839,598.2445
38,28,293640,10487.14,15640.1,524.7504,602.6041
39,28,302963.9,10820.14,15973.1,530.3847,606.8472
40,28,312624,11165.14,16318.09,536.0947,611.1898
41,28,321696,11489.14,16642.09,541.3444,615.2086
42,28,329396,11764.14,16917.09,545.7195,618.5761
43,28,338888,12103.14,17256.1,551.0152,622.6775
44,27,336002.9,12444.55,17593.09,556.1618,626.7083
45,27,345291,12788.56,17937.1,561.3335,630.7706
46,27,354579,13132.55,18281.1,566.4096,634.7784
47,26,345163.9,13275.54,17463.15,568.7603,623.6982
48,26,354056.1,13617.54,17805.15,573.6673,627.7399
49,26,363052.1,13963.54,18151.15,578.5455,631.7764
50,26,372100.2,14311.54,18499.15,583.3698,635.7886
51,26,381044.3,14655.55,18843.15,588.0601,639.7096
52,26,389806.4,14992.56,19180.15,592.5825,643.505
53,26,398750.5,15336.56,19524.15,597.128,647.3325
54,25,407705.6,16308.22,30807.15,608.0589,753.8552
55,25,416255.7,16650.23,31149.18,612.3723,756.6331
56,25,424930.7,16997.23,31496.18,616.6852,759.431
57,24,416534.7,17355.61,31841.22,621.0164,762.1929
58,24,424814.8,17700.62,32186.21,625.1868,764.9345
59,23,433057.8,18828.6,34619.18,636.5563,783.4985
60,22,440669.9,20030.45,53985.39,645.866,908.5646
61,22,448347.9,20379.45,54334.3,649.8281,910.5159
62,22,455629.9,20710.45,54665.35,653.5391,912.3354
63,21,445470,21212.86,55010.37,658.706,914.2577
64,20,434229.8,21711.49,55366.34,663.773,916.2523
65,20,441229.8,22061.49,55716.26,667.5345,918.1768
66,20,448329.6,22416.48,56071.16,671.3051,920.1283
67,19,454983.5,23946.5,56417.07,684.5062,922.0303
68,19,461709.6,24300.5,56771.04,688.107,923.9465
69,18,468295.6,26016.42,57127.09,703.1484,925.866
70,18,474667.6,26370.42,57481.12,706.5746,927.7745
71,18,481075.6,26726.42,57837.14,709.9827,929.6746
72,18,487447.6,27080.42,58191.13,713.3363,931.5457
73,18,493891.5,27438.42,58549.13,716.6942,933.4468
74,17,473406.6,27847.45,58903.33,719.9865,935.3516
75,17,478965.5,28174.44,59230.31,723.0018,937.0801
76,17,484507.3,28500.43,59556.11,725.9818,938.8032
