Time Lapsed (s), Asteroids in Universe, Total Mass (kg), Average Mass (kg), Most Massive (kg), Average Radius (km), Largest Radius (km)
1,1,1,1,1,51.96152,51.96152
2,4,533.1833,133.2958,251.0928,115.0965,151.6896
3,7,2385.351,340.7644,580.0921,162.4642,200.5287
4,10,5335.51,533.551,913.0918,188.5543,233.2647
5,14,9603.756,685.9825,1259.091,201.4202,259.6351
6,17,14246.91,838.0532,1556.092,215.8744,278.6269
7,19,18828.11,990.9533,1886.091,229.3674,297.0743
8,21,24862.21,1183.915,2208.091,241.1202,313.0989
9,24,32391.39,1349.641,2541.09,252.4323,328.1075
10,27,41192.64,1525.653,2881.088,263.6931,342.1341
11,31,50726.9,1636.352,3206.097,267.081,354.5448
12,34,61582.04,1811.236,3539.095,277.5765,366.4186
13,36,71581.18,1988.366,3862.093,286.7483,377.2437
14,39,83636.51,2144.526,4180.094,291.6946,387.3265
15,40,95595.66,2389.892,5738.117,303.0542,431.1621
16,41,108739.8,2652.189,6059.127,318.46,439.0572
17,41,121777.8,2970.189,6377.134,334.6855,446.6079
18,41,134405.8,3278.189,6685.136,348.3675,453.6856
19,41,147607.7,3600.189,7007.146,361.2693,460.8562
20,39,152473.6,3909.581,7323.14,372.4137,467.6827
21,39,165187.7,4235.581,7649.138,383.6104,474.5221
22,38,177784.7,4678.545,12012.17,395.9232,551.3681
23,36,186525.7,5181.269,16624.26,408.978,614.4475
24,36,198261.8,5507.271,16950.27,418.2421,618.4379
25,36,210177.8,5838.271,17281.27,427.2011,622.4337
26,36,222309.8,6175.273,17618.27,435.9157,626.4521
27,36,234045.8,6501.271,17944.27,443.9986,630.2946
28,36,246213.8,6839.271,18282.27,452.0558,634.2317
29,35,251317.7,7180.506,18603.27,459.7612,637.9245
30,35,263077.8,7516.507,18939.27,467.2154,641.7426
31,33,257307.6,7797.2,19275.27,473.1176,645.5135
32,30,251340.4,8378.013,19602.27,484.838,649.1412
33,29,251817.3,8683.356,19936.27,490.8356,652.8034
34,29,261561.3,9019.355,20272.28,497.3642,656.4457
35,29,271479.3,9361.354,20614.28,503.8297,660.1127
36,27,265564.1,9835.707,20953.27,512.4507,663.7089
37,26,274357.1,10552.2,29227.26,522.5209,741.5745
38,26,283483.1,10903.2,29578.28,528.5635,744.5306
39,25,278707.9,11148.32,29924.29,532.7079,747.4205
40,24,276994.9,11541.45,30271.27,538.9775,750.298
41,24,285394.8,11891.45,30621.27,544.6337,753.1799
42,23,293463.9,12759.3,30963.29,557.151,755.9749
43,23,301467.9,13107.3,31311.29,562.4299,758.7986
44,22,299054.8,13593.4,31653.24,569.5209,761.5521
45,21,306268.8,14584.23,31995.18,581.1883,764.2838
46,21,313681.9,14937.23,32348.2,586.137,767.0815
47,21,320612,15267.24,32678.24,590.6854,769.6805
48,20,327898,16394.9,33030.22,604.0248,772.4355
49,20,334278.2,16713.91,33349.21,608.1839,774.9147
50,17,291543.8,17149.64,48402.32,610.3342,877.3759
51,17,297561.9,17503.64,48756.31,614.8745,879.5144
52,16,290349.9,18146.87,49109.29,622.4315,881.6229
53,16,295581.9,18473.87,49436.29,626.4637,883.5818
54,16,300413.9,18775.87,49738.31,630.1378,885.3754
55,16,304622,19038.88,50001.3,633.3,886.9323
56,16,308782,19298.87,50261.32,636.3946,888.4716
57,16,313181.9,19573.87,50536.29,639.6327,890.0833
58,16,317950,19871.88,50834.28,643.1025,891.816
59,16,322350,20146.88,51109.27,646.2696,893.4149
60,16,326862,20428.88,51391.25,649.4827,895.0461
61,15,316459,21097.27,51674.3,656.6692,896.6916
62,14,320891.1,22920.79,51977.38,672.6054,898.4534
63,14,324923.3,23208.81,52265.54,675.667,900.1279
64,14,328927.2,23494.8,52551.38,678.6761,901.7606
65,14,332847.1,23774.79,52831.3,681.5941,903.359
66,14,336767.2,24054.8,53111.32,684.4863,904.9575
67,14,341135.1,24366.79,53423.25,687.6762,906.7214
68,14,345573.2,24683.8,53740.26,690.8864,908.4976
69,14,350431.1,25030.79,54087.23,694.3634,910.4418
70,14,355359,25382.79,54439.15,697.853,912.3988
71,13,340111.9,26162.46,54753.13,704.9177,914.1486
72,10,322634.6,32263.46,55092.07,755.3976,916.048
73,9,280818.4,31202.05,55424.15,747.1999,917.9025
74,9,283851.5,31539.05,55761.23,750.1109,919.755
75,9,287109.6,31901.06,56123.3,753.2102,921.7451
76,9,290349.5,32261.06,56483.28,756.2672,923.724
77,9,293499.5,32611.05,56833.19,759.2097,925.6117
78,9,296712.4,32968.04,57190.12,762.1848,927.5364
79,9,299907.4,33323.04,57545.12,765.1213,929.4504
80,9,303138.4,33682.04,57904.11,768.0623,931.3596
81,9,306387.3,34043.04,58265.08,770.9964,933.2731
82,9,309699.4,34411.05,58633.11,773.9692,935.2572
83,9,312993.5,34777.05,58999.09,776.8988,937.2166
84,9,316287.3,35143.04,59365.15,779.8052,939.1512
85,9,319509.7,35501.08,59723.38,782.623,941.0435
86,9,322601.6,35844.62,59999.09,785.3319,942.5024
87,9,325481.4,36164.6,59999.09,787.9099,942.5024
88,9,328433.4,36492.6,59999.09,790.5366,942.5024
89,9,331321.4,36813.49,59999.09,793.0833,942.5024
90,9,334265.3,37140.59,59999.09,795.6593,942.5024
91,9,337161.2,37462.36,59999.09,798.1768,942.5024
92,9,340089.2,37787.69,59999.09,800.7004,942.5024
93,9,342937.3,38104.14,59999.09,803.1375,942.5024
94,9,345817.2,38424.13,59999.09,805.5827,942.5024
95,9,348713.1,38745.9,59999.09,808.0223,942.5024
96,9,351633,39070.33,59999.09,810.4658,942.5024
97,9,354585,39398.33,59999.09,812.92,942.5024
98,9,357425.1,39713.9,59999.09,815.2664,942.5024
99,9,360329.1,40036.57,59999.09,817.645,942.5024
