Time Lapsed (s), Asteroids in Universe, Total Mass (kg), Average Mass (kg), Most Massive (kg), Average Radius (km), Largest Radius (km)
1,1,1,1,1,51.96152,51.96152
2,4,677.9675,169.4919,294.9157,127.3642,160.9935
3,7,2381.907,340.2725,599.9152,161.8492,203.9887
4,10,4549.008,454.9008,848.915,176.5183,229.0154
5,14,7319.807,522.8434,1071.915,182.6722,247.5312
6,17,11088.84,652.2845,1312.915,198.6251,264.8429
7,19,14750.72,776.3537,1545.916,210.9428,279.6655
8,22,19449.65,884.0752,1773.916,218.7267,292.7887
9,25,24850.6,994.024,2002.914,227.7791,304.8808
10,27,29793.61,1103.467,2358.935,234.4729,321.4111
11,30,34738.71,1157.957,2570.934,235.9786,330.766
12,33,41084.75,1244.992,2771.934,242.7415,339.1718
13,36,48080.68,1335.575,2971.933,249.6516,347.1414
14,40,56099.55,1402.489,3180.932,252.3814,355.0962
15,42,64094.42,1526.058,3375.933,259.7964,362.2095
16,45,73146.52,1625.478,3581.931,266.4867,369.4326
17,47,80994.68,1723.291,3775.934,270.424,375.9858
18,50,91302.58,1826.052,3987.937,276.7845,382.8953
19,53,101901.7,1922.673,4191.938,282.2715,389.3167
20,52,112924.7,2171.628,4628.854,298.3369,403.015
21,48,114672.8,2389.016,4600.935,311.9026,401.5885
22,48,124848.8,2601.016,4812.935,322.8642,407.6646
23,45,129234.9,2871.886,5017.931,335.6082,413.3725
24,44,137008.8,3113.836,5224.931,346.0706,418.9806
25,39,131400.7,3369.248,7606.062,355.2622,474.3169
26,38,136810.7,3600.282,7799.062,364.0418,478.2957
27,36,138988.7,3860.796,10538.97,372.135,528.7882
28,36,146836.6,4078.795,10756.98,379.6903,532.4092
29,36,154864.7,4301.796,10979.98,387.0835,536.0634
30,35,162692.7,4648.362,11202.98,398.0467,539.6686
31,35,170532.6,4872.361,11426.98,404.756,543.2418
32,33,172058.7,5213.899,11650.98,413.2273,546.7686
33,32,172284.8,5383.898,11870.98,417.9856,550.1884
34,32,179548.8,5610.899,12097.99,424.1549,553.6721
35,31,186782.8,6025.251,12733.02,433.3048,562.0329
36,28,170448.6,6087.451,12952.01,435.5349,565.2363
37,26,163286.6,6280.255,12761.97,441.3932,563.6222
38,26,169162.6,6506.253,12987.97,446.8764,566.9317
39,25,174951.6,6998.065,13216.97,457.1772,570.2428
40,24,172425.7,7184.404,13447.97,461.3065,573.5474
41,24,177993.7,7416.403,13679.98,466.4708,576.8251
42,24,183585.7,7649.403,13912.98,471.538,580.0834
43,24,189201.7,7883.404,14146.98,476.5135,583.3158
44,23,187029.7,8131.728,14375.98,481.5019,586.4479
45,23,192319.8,8361.729,14605.99,486.1891,589.5598
46,23,197678.8,8594.729,14838.99,490.8422,592.6758
47,22,196178.6,8917.21,15073.99,497.1432,595.7899
48,21,193540.7,9216.223,15308.99,502.7023,598.8711
49,20,191263.7,9563.185,15546,509.151,601.9433
50,20,196023.7,9801.186,15783.98,513.4785,604.9978
51,20,200783.7,10039.19,16022,517.7316,608.0274
52,20,205463.7,10273.19,16255.98,521.8434,610.9739
53,20,210363.7,10518.18,16500.98,526.0775,614.0273
54,20,215243.7,10762.18,16744.97,530.2247,617.0352
55,18,200478.8,11137.71,16978.97,536.3767,619.8962
56,18,204924.8,11384.71,17225.97,540.4127,622.8903
57,17,195065.8,11474.46,17467.97,541.9401,625.7962
58,17,199213.8,11718.46,17711.97,545.8413,628.6978
59,17,203327.8,11960.46,17953.98,549.6548,631.548
60,17,207458.9,12203.46,18196.98,553.4297,634.383
61,16,200277.9,12517.37,18439.97,558.1486,637.1915
62,16,204005.8,12750.37,18672.97,561.6603,639.8606
63,16,207957.9,12997.37,18919.97,565.3353,642.6672
64,16,211765.9,13235.37,19157.97,568.8298,645.3497
65,16,215573.9,13473.37,19395.97,572.281,648.0115
66,16,219397.9,13712.37,19634.96,575.7048,650.6642
67,16,223190,13949.37,19871.96,579.0591,653.2725
68,16,227206,14200.37,20122.96,582.5686,656.0124
69,16,231126,14445.38,20367.96,585.9534,658.6659
70,16,235046,14690.37,20612.96,589.2991,661.2996
71,16,239046,14940.38,20862.97,592.673,663.9637
72,15,228836.9,15255.8,21101.97,596.8965,666.4933
73,15,232527,15501.8,21347.96,600.1357,669.0737
74,15,236262,15750.8,21596.96,603.3778,671.6686
75,15,239967,15997.8,21843.96,606.5597,674.2194
76,15,243642,16242.8,22088.96,609.683,676.734
77,15,247347,16489.8,22335.97,612.7977,679.2461
78,13,232975.2,17921.17,35183.13,626.3178,792.5648
79,13,236056.2,18158.17,35420.13,629.1897,794.332
80,13,239228.2,18402.17,35664.13,632.1205,796.1589
81,13,242465.1,18651.16,35913.13,635.081,798.0015
82,13,245728.2,18902.17,36164.13,638.0359,799.8583
83,12,248776.3,20731.36,52572.38,652.0629,906.0825
84,12,251788.1,20982.34,52823.17,654.9113,907.5153
85,12,254848.1,21237.34,53078.19,657.7784,908.9711
86,12,257860.1,21488.34,53329.18,660.5742,910.3967
87,12,260896.3,21741.35,53582.42,663.3647,911.8143
88,12,263884.1,21990.34,53831.25,666.0891,913.2249
89,12,266932.1,22244.34,54085.23,668.8453,914.6749
90,12,269968.1,22497.34,54338.28,671.5674,916.1146
91,12,272956,22746.34,54587.14,674.2229,917.5097
92,11,258581,23507.36,54835.13,681.6011,918.8992
93,11,261341.9,23758.36,55086.07,684.2007,920.3056
94,11,264114.1,24010.37,55338.25,686.7902,921.7175
95,11,266654.9,24241.35,55569.02,689.1442,922.9908
96,11,269184.9,24471.36,55799.09,691.4709,924.2551
97,11,271538.9,24685.36,56013.08,693.621,925.4316
98,11,274277.9,24934.35,56262.03,696.1057,926.8004
